pmid,year,title,abstract,label
27597064,2016,Re: Enzalutamide versus Bicalutamide in Castration-Resistant Prostate Cancer: The STRIVE Trial.,NA,E3
25046451,2015,Cytotoxic chemotherapy in the contemporary management of metastatic castration-resistant prostate cancer (mCRPC).,"For several years, docetaxel was the only treatment shown to improve survival of patients with metastatic castration-resistant prostate cancer (mCRPC). There are now several novel agents available, although chemotherapy with docetaxel and cabazitaxel continues to play an important role. However, the increasing number of available agents will inevitably affect the timing of chemotherapy and therefore it may be important to offer this approach before declining performance status renders patients ineligible for chemotherapy. Patient selection is also important to optimise treatment benefit. The role of predictive biomarkers has assumed greater importance due to the development of multiple agents and resistance to available agents. In addition, the optimal sequence of treatments remains undefined and requires further study in order to maximize long-term outcomes. We provide an overview of the clinical data supporting the role of chemotherapy in the treatment of mCRPC and the emerging role in metastatic castration-sensitive prostate cancer. We review the key issues in the management of patients including selection of patients for chemotherapy, when to start chemotherapy, and how best to sequence treatments to maximise outcomes. In addition, we briefly summarise the promising new chemotherapeutic agents in development in the context of emerging therapies.",C2
25193433,2014,Effectiveness and safety of cabazitaxel plus prednisolone chemotherapy for metastatic castration-resistant prostatic carcinoma: data on Korean patients obtained by the cabazitaxel compassionate-use program.,"To report the efficacy and safety of using cabazitaxel plus prednisolone chemotherapy to treat Korean patients with metastatic castration-resistant prostate cancer (mCRPC) following docetaxel therapy. This cohort study enrolled 26 mCRPC patients. Treatment consisted of 25 mg/m(2) cabazitaxel that was intravenously administered every 3 weeks, in addition to twice-daily 5 mg prednisolone. The median patient age was 67 years (range = 53-82), median Eastern Cooperative Oncology Group performance status was 1 (range = 0-2), Gleason score was ≥ 8 in 25 patients (96 %), and median serum prostate-specific antigen (PSA) was 95.3 ng/mL (interquartile range = 9.1-297.7). A total of 180 treatment cycles were administered, and a median of five cycles were administered per patient (range = 1-23). A PSA response was observed in 32 % of evaluable patients. Tumor response was evaluated in eight patients, and three and four patients achieved partial response and stable disease, respectively. Over a median follow-up duration of 23.4 months (95 % CI 11.1-35.6), median time to treatment failure was 4.2 months (95 % CI 1.8-6.6) and median time to progression was 8.5 months (95 % CI 3.0-13.1). Median overall survival was 16.5 months (95 % CI 12.1-20.9). Grade 3 or worse febrile neutropenia developed in eight patients (31 %) and neutropenic infection in four patients (15 %). Cabazitaxel plus prednisolone chemotherapy can be used to treat Korean mCRPC patients. Prophylactic growth factor support should be considered for patients at high risk of neutropenic fever or infection.",C2
27815387,2016,Polycomb-Mediated Disruption of an Androgen Receptor Feedback Loop Drives Castration-Resistant Prostate Cancer.,"The lethal phenotype of castration-resistant prostate cancer (CRPC) is generally caused by augmented signaling from the androgen receptor (AR). Here, we report that the AR-repressed gene CCN3/NOV inhibits AR signaling and acts in a negative feedback loop to block AR function. Mechanistically, a cytoplasmic form of CCN3 interacted with the AR N-terminal domain to sequester AR in the cytoplasm of prostate cancer cells, thereby reducing AR transcriptional activity and inhibiting cell growth. However, constitutive repression of CCN3 by the Polycomb group protein EZH2 disrupted this negative feedback loop in both CRPC and enzalutamide-resistant prostate cancer cells. Notably, restoring CCN3 was sufficient to effectively reduce CPRC cell proliferation in vitro and to abolish xenograft tumor growth in vivo Taken together, our findings establish CCN3 as a pivotal regulator of AR signaling and prostate cancer progression and suggest a functional intersection between Polycomb and AR signaling in CRPC. Cancer Res; 77(2); 412-22. ©2016 AACR.",E3
25687355,2015,"Safety and effectiveness of enzalutamide in men with metastatic, castration-resistant prostate cancer.","Enzalutamide (MDV3100) is a second-generation androgen receptor antagonist that improves survival in metastatic, castration-resistant prostate cancer (mCRPC). Alternatives include chemotherapy, radiation, immunotherapy and abiraterone. The Phase I/II study showed early evidence of efficacy and determined that fatigue is the dose-limiting toxicity. Two randomized, placebo-controlled trials have demonstrated superiority of enzalutamide 160 mg by mouth daily over placebo in terms of overall survival, radiographic progression-free survival as well as a broad range of secondary and exploratory end points in men who had received previous chemotherapy (AFFIRM) and in those who were chemotherapy naive (PREVAIL). Common side effects include fatigue, arthralgias and constipation. A post hoc analysis from AFFIRM found that enzalutamide is safe and effective in men aged ≥ 75 years. The Phase I/II studies as well as AFFIRM and PREVAIL are described in this review. Enzalutamide extends overall and progression-free survival and is associated with robust response rates and quality of life benefits in men with mCRPC. Enzalutamide has not been proven to be effective in biochemically relapsed disease or in castration-sensitive prostate cancer. It should not be used in men at high risk for seizure, and patients should be counseled about the increased risk of falls.",E3
23044721,2012,Peg-filgrastim and cabazitaxel in prostate cancer patients.,"To determine the impact of prophylaxis with granulocyte-colony stimulating growth factor (G-CSF) on the risk of febrile neutropenia in a cohort of patients enrolled at the University Federico II of Naples and treated with cabazitaxel for metastatic castration-resistant prostate cancer (mCRPC). We carried out a retrospective review of prospectively collected data of patients enrolled at our institution in a compassionate-use programme with cabazitaxel, aimed at providing early access to the drug before its commercial availability in mCRPC patients. Besides baseline clinical and demographic characteristics, data on treatment efficacy and toxicity, as well as those on the use of G-CSF per patient per cycle were extracted. Progression-free survival and overall survival were calculated using the Kaplan-Meier method. Fisher's exact test was used to explore a relationship between a single event of grade 3 or more neutropenia or febrile neutropenia and previous use of G-CSF. Univariate analysis was carried out to evaluate predictors of grade 3 or more neutropenia and/or febrile neutropenia. Of 34 patients enrolled at our institution from December 2010 to December 2011, 32 had received at least one dose of cabazitaxel and were included in the analysis. Patients received a median of 10 cabazitaxel cycles. Grade 3 or more neutropenia was common, occurring in 64.5% of patients. Three patients (9.3%) developed febrile neutropenia. Twenty-seven patients received prophylaxis with G-CSF during at least one cycle using peg-filgrastim. The risk of grade 3 or more neutropenia and/or febrile neutropenia per patient and per cycle was seven times lower when G-CSF was used. Baseline neutrophil count of less than 4570/mm was the strongest predictor of grade 3 or more neutropenia and/or febrile neutropenia. No toxic death was reported. Only one patient discontinued cabazitaxel because of an adverse event. Our analysis suggests that prophylaxis with peg-filgrastim may considerably reduce the incidence of grade 3 or more neutropenia and, possibly, of febrile neutropenia in mCRPC patients treated with cabazitaxel. Further analyses involving a larger population are warranted to confirm our results.",C2
28304025,2017,Illuminating cytochrome P450 binding: Ru(ii)-caged inhibitors of CYP17A1.,New Ru(ii)-caged abiraterone complexes were synthesized that exhibit strong absorption in the visible region and release the steroidal CYP17A1 inhibitor abiraterone upon exposure to low energy visible light in buffer and prostate cancer cells. Photoinduced release results in abiraterone binding to its CYP17A1 target in an inhibitory mode.,A1
21984773,2011,Emerging treatments for castrate-resistant prostate cancer.,"Castrate-resistant prostate cancer (CRPC) is a challenging aspect in the treatment of prostate cancer. Research has identified several pathways in the pathogenesis of CRPC. Several new agents targeting some of these pathways have shown promising data during clinical trials. In the area of androgen depletion, abiraterone acetate and MDV100 have been studied and have shown to decrease prostate-specific antigen (PSA) levels in phase I and II studies. Bevacizumab is a monoclonal antibody antiangiogenesis agent that targets vascular endothelial growth factor (VEGF) and has shown to decrease PSA levels in combination with other cytotoxic agents. Three agents, ixabepilone, patupilone, and sagopilone, in the class of epothilones (tubulin polymerizing antitumor agents), have shown moderate reductions in PSA levels and moderate adverse effects. The results of ongoing studies with these new treatment agents may offer viable alternatives to the traditional treatment of CRPC to decrease disease progression and improve overall survival.",A1
23098113,2012,Cabazitaxel in metastatic castration-resistant prostate cancer.,"Metastatic castration-resistant prostate cancer (CRPC) has a poor prognosis and remains a significant therapeutic challenge. Prior to 2010, docetaxel chemotherapy was the only treatment shown to improve overall survival, symptom control and quality of life in patients with CRPC. Research efforts focused on overcoming chemoresistance to taxanes eventually led to the development of multiple novel anti-tumor agents, including cabazitaxel. Cabazitaxel has recently been shown to significantly improve overall survival compared with mitoxantrone in a large multicenter Phase III study. This article details the preclinical and clinical development of cabazitaxel and discusses the importance of this novel chemotherapy in CRPC. The authors also discuss the challenges now facing the future use of cabazitaxel in CRPC, including the determination of the optimal dose of cabazitaxel in patients with advanced CRPC, the ideal sequencing of cabazitaxel relative to other anti-tumor treatments, appropriate patient selection and novel strategies for the assessment of treatment response.",C2
28117385,2017,Radiographic progression with nonrising PSA in metastatic castration-resistant prostate cancer: post hoc analysis of PREVAIL.,"Advanced prostate cancer is a phenotypically diverse disease that evolves through multiple clinical courses. PSA level is the most widely used parameter for disease monitoring, but it has well-recognized limitations. Unlike in clinical trials, in practice, clinicians may rely on PSA monitoring alone to determine disease status on therapy. This approach has not been adequately tested. Chemotherapy-naive asymptomatic or mildly symptomatic men (n=872) with metastatic castration-resistant prostate cancer (mCRPC) who were treated with the androgen receptor inhibitor enzalutamide in the PREVAIL study were analyzed post hoc for rising versus nonrising PSA (empirically defined as >1.05 vs ⩽1.05 times the PSA level from 3 months earlier) at the time of radiographic progression. Clinical characteristics and disease outcomes were compared between the rising and nonrising PSA groups. Of 265 PREVAIL patients with radiographic progression and evaluable PSA levels on the enzalutamide arm, nearly one-quarter had a nonrising PSA. Median progression-free survival in this cohort was 8.3 months versus 11.1 months in the rising PSA cohort (hazard ratio 1.68; 95% confidence interval 1.26-2.23); overall survival was similar between the two groups, although less than half of patients in either group were still at risk at 24 months. Baseline clinical characteristics of the two groups were similar. Non-rising PSA at radiographic progression is a common phenomenon in mCRPC patients treated with enzalutamide. As restaging in advanced prostate cancer patients is often guided by increases in PSA levels, our results demonstrate that disease progression on enzalutamide can occur without rising PSA levels. Therefore, a disease monitoring strategy that includes imaging not entirely reliant on serial serum PSA measurement may more accurately identify disease progression.Prostate Cancer and Prostatic Diseases advance online publication, 24 January 2017; doi:10.1038/pcan.2016.71.",E3
